Institution Name,Category,Name of Financial Institution,Instituition Type,Categorization,Old Name,Date of New Name,Street Address,Area,State,Telephone Number(s),Website,Email,Fax,PostalAddress,country,Ownership Type,Other Information,Date Licensed
COEMINNA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
CONFIDENCE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
CONSISTENT TRUST MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
CONSUMER MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
CORESTEP MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
COVENANT MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
CREEKLINE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
CRESCENT MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
CREST MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
CROSSRIVER MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
CRUTECH MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
CRYSTABEL MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
CSD MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
CUSTODIAN MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
DAILY-TRUST MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
DAL MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
DAMBATTA- MAKODA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
DAVODANI MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
DAWAKIN KUDU MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
DAWAKIN TOFA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
DAYLIGHT MFB LTD,Micro-finance Banks,,,,,,,,,,,,,,,,,
DEC-ENUGU MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
DESTINY MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
DIOBU MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
DOGUWA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
DOLPHIN MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
DORBEN MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
DUTSE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
DUTSIN-MA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
e-BARCS MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
EAGLE FLIGHT MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
EARNWELL MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
EAST GATE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
EASTMAN MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
EASY ACCESS MFB LTD,Micro-finance Banks,,,,,,,,,,,,,,,,,
EBEDI MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
EBONYI STATE UNIVERSITY MFB (EBSU),Micro-finance Banks,,,,,,,,,,,,,,,,,
EDFIN MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
EDO MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
EGBE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
EGBEMOHA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
EGWAFIN MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
EJINDU MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
EK-RELIABLE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
EKIMOGUN MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
EKONDO MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
EKWULOBIA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
ELO-EMEDE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
EMERALD MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
EMPIRE TRUST MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
ENDWELL MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
ENEDE MFB LTD,Micro-finance Banks,,,,,,,,,,,,,,,,,
ENRICH MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
EQUATOR MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
EQUINOX MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
ESO-E MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
EVERGREEN MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
EWT MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
EXCEL MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
EZEBO MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
FAIDA MFB LTD,Micro-finance Banks,,,,,,,,,,,,,,,,,
FAIRMONEY MFB LTD,Micro-finance Banks,,,,,,,,,,,,,,,,,
FAME MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
FAST MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
FCMB MFB LTD.,Micro-finance Banks,,,,,,,,,,,,,,,,,
FECETU MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
"FEDERAL POLYTECHNIC, NEKEDE MFB LTD",Micro-finance Banks,,,,,,,,,,,,,,,,,
FEDETH CO-OP MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
FEDPOLY NASARAWA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
FFS MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
FIDFUND MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
FIMS MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
FINATRUST MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
FINCA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
FINEX MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
FIRMUS MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
FIRST ACCESS MFB LTD,Micro-finance Banks,,,,,,,,,,,,,,,,,
FIRST HERITAGE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
FIRST LOW-LAND MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
FIRST MUTUAL MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
FIRST OPTION MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
FIRST ROYAL MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
Flexi Microfinance Bank,Micro-finance Banks,Flexi Microfinance Bank,MicroFinance Bank,TIER 1 UNIT,-,01/01/1900,"No 63 Adekunle Fajuyi Way, GRA Ikeja, Lagos State",Ikeja,LAGOS,+2348033773732,-,-,-,-,NGN,Domestic,-,09/23/2024
FLOURISH MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
FORESIGHT MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
FORTRESS MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
FORWARD MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
FRONTLINE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
FTA FUNTUA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
FUD MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
Fullrange Microfinance Bank Ltd,Micro-finance Banks,,,,,,,,,,,,,,,,,
FUT MINNA,Micro-finance Banks,,,,,,,,,,,,,,,,,
FUTO MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
GAA AKANBI MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
GABASAWA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
GAMAWA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
GAREWA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
GARKI MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
GARU MALLAM MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
GASHUA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
GAYA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
GBEDE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
GEZAWA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
GIANT STRIDE MFB LTD,Micro-finance Banks,,,,,,,,,,,,,,,,,
Gidauniya Alheri MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
GIGINYA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
GIREI MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
GIWA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
GLOBAL INITIATIVE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
GLORY MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
GMB MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
GOBARAU MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
GOLD MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
GOLDEN CHOICE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
GOLDMAN MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
GOMBE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
GOOD NEIGHBOURS MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
GOOD NEWS MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
GOOD SHEPHERD MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
GOWANS MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
GRANTS MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
GREEN ACRES MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
GREEN ENERGY MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
GREEN-BANK MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
GREENVILLE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
GROOMING MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
GTI MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
GUDUSISA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
GULFARE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
GWONG MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
HADEIJA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
HALAL CREDIT MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
HALLOWED MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
HAMADA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
HAMDA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
HASAL MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
HEADWAY MFB LTD,Micro-finance Banks,,,,,,,,,,,,,,,,,
HIGHLAND MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
HINACHE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
HONEY MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
HOPE ALIVE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
I-Care Microfinance Bank Ltd,Micro-finance Banks,,,,,,,,,,,,,,,,,
IBETO MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
IBILE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
IBOLO MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
IBOM FADAMA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
IBRAHIM BADAMASI BABANGIDA UNIVERSITY  MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
IBU-AJE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
ICHI MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
IDEATO MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
IDEMILI MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
IFEDAPO MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
IFELODUN MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
IGBO-UKWU MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
IGBOORA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
IHIALA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
IJARE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
IJEBU IFE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
IKENNE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
IKIRE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
IKORODU DIVISION MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
IKOYI-ILE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
IKOYI-OSUN MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
ILARO POLYTECHNIC MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
ILE-OLUJI MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
ILISAN MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
ILOBU MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
ILOFFA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
ILORA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
ILORIN MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
ILUDUN ORO MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
ILUTUNTUN-OSORO MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
IMO STATE MICROFINANCE BANK,Micro-finance Banks,,,,,,,,,,,,,,,,,
IMODI-IMOSAN MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
IMOPOLY MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
IMOWO MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
IMSU MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
IMT MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
INFINITY MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
INSIGHT MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
IPAPO MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
IPERU MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
IRL MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
ISALE OYO MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
ISHIAGU MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
ISHIE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
ISI-UZO MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
ISLAND MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
ISUA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
ISUOFIA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
IWA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
IWADE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
IWOYE-IJESA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
IYA-ZAKARI (MASHI) MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
IYAMOYE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
IYERU OKIN MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
IYIN EKITI MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
IZON MFB LTD,Micro-finance Banks,,,,,,,,,,,,,,,,,
JANMAA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
JANZAMA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
JEN MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
JESSEFIELD MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
JEWEL COOP MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
KABO MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
KADPOLY MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
KADUPE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
KAMBA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
KANKARA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
KANKIA MFB LTD,Micro-finance Banks,,,,,,,,,,,,,,,,,
KANO POLY MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
KANO-WEST MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
KATAGUM MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
KAYVEE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
KC MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
KCMB MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
KENECHUKWU MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
KHB MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
KINGDOM COLLEGE MFB LTD,Micro-finance Banks,,,,,,,,,,,,,,,,,
KISI MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
KKU Microfinance,Micro-finance Banks,,,,,,,,,,,,,,,,,
KMC MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
KONTAGORA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
KOPO-KOPE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
KREDI MONEY MFB (Formerly CONPRO MFB),Micro-finance Banks,,,,,,,,,,,,,,,,,
KUDA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
KUMBOTSO MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
KUNAGABA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
KUNCHI MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
KURA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
KUSALLA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
KWACOFOCUS MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
KWASU MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
KWATASHI MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
LA FAYETTE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
Ladder Microfinance Bank,Micro-finance Banks,Ladder Microfinance Bank,MicroFinance Bank,TIER 2 UNIT,-,01/01/1900,"No 77 Ayangburen Road, Ikorodu, Lagos State",Ikorodu,LAGOS,+2349134283968,-,-,-,-,NGN,Domestic,-,10/15/2024
LANDGOLD MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
LAPO MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
LAVENDER,Micro-finance Banks,,,,,,,,,,,,,,,,,
LAWYERS MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
LAYELU MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
LEADCITY MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
LEGACY MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
LEGEND MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
LETSHEGO MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
LEVITE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
LIFEGATE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
LIGHT MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
LINKS MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
LIVING SPRING MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
LOBREM MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
LOVONUS MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
M & M MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
MAB ALLIANZ MFB LTD,Micro-finance Banks,,,,,,,,,,,,,,,,,
MACROD MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
MADELYN MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
MADOBI MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
MAGAJIN-GIRI MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
MAGNET MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
MAIGATARI MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
MAIN TRUST MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
MAINLAND MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
MAINSTREET MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
MALACHY MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
MAPOLY MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
MARITIME MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
MATAZU MFB LTD,Micro-finance Banks,,,,,,,,,,,,,,,,,
MAXITRUST MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
MBAITOLI MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
MBAWULU MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
MEGA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
MEGAPRAISE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
MEMENTO MFB LTD,Micro-finance Banks,,,,,,,,,,,,,,,,,
MEMPHIS MICROFINANCE BANK LIMITED,Micro-finance Banks,,,,,,,,,,,,,,,,,
MERCHANT MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
MERIDIAN MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
MGBIDI MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
MICHEAL OKPARA UNIVERSITY MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
MICROVIS MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
MIDLAND MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
MINJI-SE CHURCHILL MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
MINJIBIR MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
MKOBO MFB LTD,Micro-finance Banks,,,,,,,,,,,,,,,,,
MODEL MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
MODIYA YEKOKPE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
MOLUSI MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
MONARCH MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
MONEYTRONICS MFB (Formerly Ipodo-Ikeja MFB),Micro-finance Banks,,,,,,,,,,,,,,,,,
Moneytrust MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
MOYOFADE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
MOZFIN MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
MULTIVEST MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
MUTUAL BENEFIT MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
MUTUAL TRUST MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
MWAGHAVUL MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
NAGARTA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
NAISA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
NAKOWA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
NAMODA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
NASARAWA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
NDIOLU MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
NDIORAH MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
NENZIT MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
NEPTUNE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
NEW DAWN MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
NEW ERA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
NEW GOLDEN PASTURES MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
NEW WOMEN'S MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
NGBO MFB LTD,Micro-finance Banks,,,,,,,,,,,,,,,,,
NICE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
NIGERIAN NAVY MFB LTD,Micro-finance Banks,,,,,,,,,,,,,,,,,
NIGERIAN PRISONS MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
NINGI MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
NIRSAL MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
NKPA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
NKPOLOGWU MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
NKPOLU-UST MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
NNOKWA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
NOBLE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
NOMASE MICROFINANCE BANK LTD,Micro-finance Banks,,,,,,,,,,,,,,,,,
NOUN MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
NOVEL MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
NPF MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
NRI MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
NSU MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
NSUK MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
NSUKKA TOWNSHIP MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
NUGGETS MFB,Micro-finance Banks,NUGGETS MFB,MicroFinance Bank,TIER 2 UNIT,-,01/01/1900,"NO.15, SULAIMON SHODERU STREET, POWER LINE ROAD, IKORODU, LAGOS",IKORODU LAGOS,LAG,08025017757,-,-,-,"NO.15, SULAIMON SHODERU STREET, POWER LINE ROAD, IKORODU, LAGOS",NGN,Domestic,-,14/07/2022
NUMO MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
NUN MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
NUT OKEBOLA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
NWANNEGADI MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
OAKLAND MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
OBA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
OBAFEMI AWOLOWO UNIVERSITY MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
OBELEDU MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
OBODOUKWU MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
OBOKUN MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
OBOLLO MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
OCHE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
OCON SUCCESS MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
OCTOPUS MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
ODOAKPU MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
ODU MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
OGBERURU MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
OGBETE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
OGBOEFERE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
OGIGE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
OGIYAN MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
OHAFIA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
OHHA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
OJOKORO MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
OKE- ARO OREDEGBE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
OKEAGBE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
OKENGWE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
OKO MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
OKPE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
